ID	Accession	Type	Description
CRISPR-DR12	RF01325	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR13	RF01326	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR14	RF01327	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR15	RF01329	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR16	RF01330	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR17	RF01328	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR18	RF01331	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR19	RF01332	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR2	RF01315	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR20	RF01333	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR21	RF01334	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR22	RF01335	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR23	RF01336	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR24	RF01337	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR25	RF01338	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR26	RF01355	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR27	RF01339	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR28	RF01356	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR29	RF01340	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR3	RF01316	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR30	RF01341	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR31	RF01357	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR32	RF01342	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR33	RF01343	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR34	RF01344	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR35	RF01345	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR36	RF01346	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR37	RF01347	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR38	RF01348	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR39	RF01358	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR4	RF01317	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR40	RF01349	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR41	RF01350	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR42	RF01351	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR43	RF01352	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR44	RF01353	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR45	RF01354	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR46	RF01359	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR47	RF01360	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR48	RF01361	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR49	RF01362	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR5	RF01318	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR50	RF01363	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR51	RF01364	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR52	RF01365	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR53	RF01366	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR54	RF01367	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR55	RF01368	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR56	RF01369	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR57	RF01370	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR58	RF01371	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR6	RF01319	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR60	RF01373	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR61	RF01374	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR62	RF01375	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR63	RF01376	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR64	RF01377	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR65	RF01378	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR66	RF01379	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR7	RF01320	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR8	RF01321	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR9	RF01322	Gene; CRISPR;	CRISPR RNA direct repeat element
cspA	RF01766	Cis-reg; thermoregulator;	cspA thermoregulator
CsrB	RF00018	Gene; sRNA;	CsrB/RsmB RNA family
CsrC	RF00084	Gene; sRNA;	CsrC RNA family
csRNA	RF02379	Gene; sRNA;	Cia-dependent small RNA csRNA1
CssrA	RF02798	Gene; sRNA;	Chromosome-encoded Shigella sRNA A
CssrB	RF02799	Gene; sRNA;	Chromosome-encoded Shigella sRNA B
ctRNA_p42d	RF00489	Gene; antisense;	ctRNA
ctRNA_pGA1	RF00236	Gene; antisense;	ctRNA
ctRNA_pND324	RF00238	Gene; antisense;	ctRNA
ctRNA_pT181	RF00242	Gene; antisense;	ctRNA
CTV_rep_sig	RF00193	Cis-reg;	Citrus tristeza virus replication signal
Cupriavidus-1	RF02949	Gene; sRNA;	Cupriavidus-1 RNA
Cyano-1	RF01701	Gene; sRNA;	Cyano-1 RNA
Cyano-2	RF01702	Gene; sRNA;	Cyano-2 RNA
cyano-S1	RF03151	Cis-reg; leader;	Cyanobacterial ribosomal protein S1 leader
cyano_het_sRNA	RF02596	Gene; sRNA;	Cyanobacteria heterocyst sRNA
cyano_tmRNA	RF01851	Gene;	Cyanobacteria transfer-messenger RNA
CyaR_RyeE	RF00112	Gene; sRNA;	CyaR/Rye RNA
CyVA-1	RF02965	Gene; sRNA;	CyVA-1 RNA
D12-methyl	RF02950	Gene; sRNA;	D12-methyl RNA
DABA-DC-AT	RF02951	Cis-reg;	DABA-DC-AT RNA
DAOA-AS1_1	RF02090	Gene; lncRNA;	DAOA antisense RNA 1 conserved region 1
DAOA-AS1_2	RF02091	Gene; lncRNA;	DAOA antisense RNA 1 conserved region 2
DapZ	RF02551	Cis-reg;	ABC transporter regulator
dCoV-3UTR	RF03124	Cis-reg;	Deltacoronavirus 3'UTR
dCoV-5UTR	RF03119	Cis-reg;	Deltacoronavirus 5'UTR
DdR1	RF01559	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR1
DdR10	RF01560	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR10
DdR11	RF01561	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR11
DdR12	RF01562	Gene; snRNA; snoRNA; CD-box;	D. discoideum snoRNA DdR12
DdR13	RF01563	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR13
DdR14	RF01564	Gene; snRNA; snoRNA; CD-box;	D. discoideum snoRNA DdR14
DdR15	RF01565	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR15
DdR16	RF01566	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR16
DdR17	RF01567	Gene; snRNA; snoRNA; CD-box;	D. discoideum snoRNA DdR17
DdR18	RF01568	Gene; snRNA; snoRNA; HACA-box;	Dictyostelium snoRNA DdR18
DdR2	RF01569	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR2
DdR4	RF01572	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR4
DdR5	RF01573	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR5
DdR6	RF01574	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA DdR6
DdR7	RF01575	Gene; snRNA; snoRNA; CD-box;	Dictyostelium snoRNA Dd7
DdR8	RF01576	Gene; snRNA; snoRNA; CD-box;	D. discoideum snoRNA DdR8
Deinococcus_Y_RNA	RF01053	Gene;	Deinococcus radiodurans Y RNA
DENV_SLA	RF02340	Cis-reg;	Dengue virus SLA
dfrA-dnaX	RF02952	Gene; sRNA;	dfrA-dnaX RNA
DGCR5	RF02098	Gene; lncRNA;	DiGeorge syndrome critical region gene 5 conserved region
Diantho_3_UTR	RF02456	Cis-reg;	Dianthovirus RNA2 3'UTR stem loops
DicF	RF00039	Gene; antisense;	DicF RNA
Dictyoglomi-1	RF01703	Gene; sRNA;	Dictyoglomi-1 RNA
Dictyostelium_SRP	RF01570	Gene; snRNA;	Dictyostelium signal recognition particle
Dicty_Class_I_RNA	RF01414	Gene;	Class I RNA from Dictyostelium
dinG	RF03082	Gene; sRNA;	dinG RNA
DISC2	RF02102	Gene; lncRNA;	Disrupted in schizophrenia 2 conserved region
DLEU1_1	RF02103	Gene; lncRNA;	Deleted in lymphocytic leukemia 1 conserved region 1
DLEU1_2	RF02104	Gene; lncRNA;	Deleted in lymphocytic leukemia 1 conserved region 2
DLEU2_1	RF02105	Gene; lncRNA;	Deleted in lymphocytic leukemia 2 conserved region 1
DLEU2_2	RF02106	Gene; lncRNA;	Deleted in lymphocytic leukemia 2 conserved region 2
DLEU2_3	RF02107	Gene; lncRNA;	Deleted in lymphocytic leukemia 2 conserved region 3
DLEU2_4	RF02108	Gene; lncRNA;	Deleted in lymphocytic leukemia 2 conserved region 4
DLEU2_5	RF02109	Gene; lncRNA;	Deleted in lymphocytic leukemia 2 conserved region 5
DLEU2_6	RF02110	Gene; lncRNA;	Deleted in lymphocytic leukemia 2 conserved region 6
DLG2-AS1_1	RF02112	Gene; lncRNA;	DLG2 antisense RNA 1 conserved region 1
DLG2-AS1_2	RF02113	Gene; lncRNA;	DLG2 antisense RNA 1 conserved region 2
DLX6-AS1_1	RF01887	Gene; lncRNA;	Embryonic ventral forebrain RNA 1 conserved region 1
DLX6-AS1_2	RF01888	Gene; lncRNA;	Embryonic ventral forebrain RNA 1 conserved region 2
DM_SisR1	RF02575	Gene;	Drosophila melanogaster stable intronic sequence RNA 1
DnaX	RF00382	Cis-reg; frameshift_element;	DnaX ribosomal frameshifting element
DPB	RF01455	Cis-reg;	Stem loopII regulatory element in POLB
drum	RF02958	Gene; sRNA;	drum RNA
drz-agam-1	RF01787	Gene; ribozyme;	drz-agam-1 ribozyme
drz-agam-2-2	RF01788	Gene; ribozyme;	drz-agam-2-2 ribozyme
DsrA	RF00014	Gene; sRNA;	DsrA RNA
DUF1874	RF02953	Cis-reg;	DUF1874 RNA
DUF2693	RF02956	Gene; sRNA;	DUF2693 RNA
DUF2693-FD	RF02926	Gene; sRNA;	DUF2693-FD RNA
DUF2800	RF02960	Cis-reg;	DUF2800 RNA
DUF2815	RF03084	Gene; sRNA;	DUF2815 RNA
DUF3085	RF02959	Cis-reg;	DUF3085 RNA
DUF3268	RF02966	Gene; sRNA;	DUF3268 RNA
DUF3577	RF02954	Cis-reg;	DUF3577 RNA
DUF3800-I	RF02969	Gene; sRNA;	DUF3800-I RNA
DUF3800-II	RF02961	Gene; sRNA;	DUF3800-II RNA
DUF3800-III	RF02962	Gene; sRNA;	DUF3800-III RNA
DUF3800-IV	RF02963	Gene; sRNA;	DUF3800-IV RNA
DUF3800-IX	RF02968	Gene; sRNA;	DUF3800-IX RNA
DUF3800-V	RF02964	Gene; sRNA;	DUF3800-V RNA
DUF3800-VI	RF02915	Cis-reg;	DUF3800-VI RNA
DUF3800-VII	RF02967	Gene; sRNA;	DUF3800-VII RNA
DUF3800-VIII	RF03075	Gene; sRNA;	DUF3800-VIII RNA
DUF3800-X	RF02984	Gene; sRNA;	DUF3800-X RNA
DUF3800-XI	RF02975	Gene; sRNA;	DUF3800-XI RNA
DUF805	RF03081	Cis-reg;	DUF805 RNA
DUF805b	RF02914	Cis-reg;	DUF805b RNA
EAV_LTH	RF00498	Cis-reg; leader;	Equine arteritis virus leader TRS hairpin (LTH)
EBER1	RF01789	Gene; sRNA;	Epstein-Barr virus EBER1
EBER2	RF02712	Gene; sRNA;	Epstein-Barr virus EBER2
EBv-sisRNA-1	RF02595	Gene;	Epstein-Barr virus stable intronic sequence RNA 1
EBv-sisRNA-2	RF02598	Gene;	Epstein-Barr virus stable intronic sequence RNA 2
eeev_FSE	RF01839	Cis-reg; frameshift_element;	eastern equine encephalitis ribosomal frameshift element
EF0408_EF0409	RF02637	Gene; sRNA;	Enterococcus sRNA EF0408_EF0409
EF0605_EF0606	RF02638	Gene; sRNA;	Enterococcus sRNA EF0605_EF0606
EF0820_EF0821	RF02635	Gene; sRNA;	Enterococcus sRNA EF0820_EF0821
EF0869_EF0870	RF02639	Gene; sRNA;	Enterococcus sRNA EF0869_EF0870
EF1368_EF1369	RF02636	Gene; sRNA;	Enterococcus sRNA EF1368_EF1369
EF3314_EF3315	RF02634	Gene; sRNA;	Enterococcus sRNA EF3314_EF3315
EFASI	RF02957	Gene; sRNA;	EFASI RNA
EGFOA	RF02955	Gene; sRNA;	EGFOA RNA
EGFOA-assoc-1	RF02970	Gene; sRNA;	EGFOA-assoc-1 RNA
eiav_FSE	RF01792	Cis-reg; frameshift_element;	ribosomal frameshift site
eL15-Euryarchaeota	RF03144	Cis-reg; leader;	eL15-Euryarchaeota ribosomal protein leader
emrB-Lactobacillus	RF02971	Gene; sRNA;	emrB-Lactobacillus RNA
engA	RF02972	Cis-reg;	engA RNA
enod40	RF01845	Gene;	Early nodulin 40
Enterococcus-1	RF02973	Gene; sRNA;	Enterococcus-1 RNA
Entero_5_CRE	RF00386	Cis-reg;	Enterovirus 5' cloverleaf cis-acting replication element
Entero_CRE	RF00048	Cis-reg;	Enterovirus cis-acting replication element
Entero_OriR	RF00041	Cis-reg;	Enteroviral 3' UTR element
epsC	RF01735	Cis-reg;	epsC RNA
Erse	RF02757	Gene; sRNA;	Erse small RNA
ES003	RF02750	Gene; sRNA;	ES003 sRNA
ES036	RF02751	Gene; sRNA;	ES036 (CssrF) sRNA
ES056	RF02752	Gene; sRNA;	ES056 sRNA
ES173	RF02753	Gene; sRNA;	ES173 sRNA
ES205	RF02754	Gene; sRNA;	ES205 sRNA
ES222	RF02755	Gene; sRNA;	ES222 sRNA
ES239	RF02756	Gene; sRNA;	ES239 sRNA
Esr41	RF02676	Gene; sRNA;	Enterohemorrhagic E. coli sRNA 41
Evf-2_5p	RF01778	Gene; lncRNA;	Embryonic ventral forebrain-2 long ncRNA
F6	RF01791	Gene; sRNA;	F6 TB sRNA
FAM13A-AS1_1	RF02114	Gene; lncRNA;	FAM13A antisense RNA 1 conserved region 1
FAM13A-AS1_2	RF02115	Gene; lncRNA;	FAM13A antisense RNA 1 conserved region 2
FAS-AS1	RF02116	Gene; lncRNA;	FAS antisense RNA 1 conserved region
FasX	RF02384	Gene; sRNA;	FasX small RNA
FdoG1_thermometer	RF02778	Cis-reg; thermoregulator;	FdoG-1 5' UTR thermometer
ffh	RF01793	Gene; sRNA;	ffh sRNA
FHbp_thermometer	RF02811	Cis-reg; thermoregulator;	FHbp 5' UTR thermometer
Fibro-purF	RF02974	Cis-reg;	Fibro-purF RNA
Fibrobacter-1	RF02983	Gene; sRNA;	Fibrobacter-1 RNA
FIE3	RF00227	Cis-reg;	FIE3 (ftz instability element 3') element
FinP	RF00107	Gene;	FinP
fiv_FSE	RF01834	Cis-reg; frameshift_element;	ribosomal frameshift site
Flavivirus-5UTR	RF03546	Cis-reg;	Flavivirus 5' UTR
Flavivirus_DB	RF00525	Cis-reg;	Flavivirus DB element
Flavivirus_SLIV	RF01415	Cis-reg;	Flavivirus 3'UTR stem loop IV
Flavi_CRE	RF00185	Cis-reg;	Flavivirus 3' UTR cis-acting replication element (CRE)
flavi_FSE	RF01768	Cis-reg; frameshift_element;	ribosomal frameshift site
Flavi_ISFV_CRE	RF03545	Cis-reg;	Insect-specific Flavivirus 3' UTR cis-acting replication element (CRE)
Flavi_ISFV_repeat_Ra	RF03544	Cis-reg;	Insect-Specific Flavivirus 3' UTR repeats Ra
Flavi_ISFV_repeat_Ra_Rb	RF03542	Cis-reg;	Insect-Specific Flavivirus 3' UTR repeats Ra and Rb elements
Flavi_ISFV_repeat_Rb	RF03543	Cis-reg;	Insect-Specific Flavivirus 3' UTR repeats Rb
Flavi_ISFV_xrRNA	RF03541	Cis-reg;	Insect-specific Flavivirus exoribonuclease-resistant RNA element
Flavi_NKV_CRE	RF03540	Cis-reg;	No-Known-Vector Flavivirus 3' UTR cis-acting replication element (CRE)
Flavi_NKV_xrRNA	RF03539	Cis-reg;	No-known vector Flavivirus exoribonuclease-resistant RNA element
Flavi_TBFV_CRE	RF03538	Cis-reg;	Tick-borne Flavivirus 3' UTR cis-acting replication element (CRE)
Flavi_TBFV_SL6	RF03537	Cis-reg;	Tick-borne Flavivirus short stem-loop SL6
Flavi_TBFV_xrRNA	RF03536	Cis-reg;	Tick-borne Flavivirus exoribonuclease-resistant RNA element
Flavi_xrRNA	RF03547	Cis-reg;	General Flavivirus exoribonuclease-resistant RNA element
Flavo-1	RF01705	Gene; sRNA;	Flavo-1 RNA
Flavobacterium-1	RF02976	Gene; sRNA;	Flavobacterium-1 RNA
flg-Rhizobiales	RF01736	Cis-reg;	flg-Rhizobiales RNA
flpD	RF01737	Cis-reg;	flpD RNA
Fluoride	RF01734	Cis-reg; riboswitch;	Fluoride riboswitch (crcB)
FMN	RF00050	Cis-reg; riboswitch;	FMN riboswitch (RFN element)
FMR1-AS1_1	RF02117	Gene; lncRNA;	FMR1 antisense RNA 1 conserved region 1
FMR1-AS1_2	RF02118	Gene; lncRNA;	FMR1 antisense RNA 1 conserved region 2
folE	RF02977	Cis-reg;	folE RNA
folP	RF02978	Cis-reg;	folP RNA
FourU	RF01795	Cis-reg; thermoregulator;	FourU thermometer RNA element
freshwater-1	RF02979	Gene; sRNA;	freshwater-1 RNA
freshwater-2	RF02980	Cis-reg;	freshwater-2 RNA
frnS	RF01796	Gene; sRNA;	Fumarate/nitrate reductase regulator sRNA
FsrA	RF02273	Gene;	FsrA
fstAT	RF01797	Gene; antitoxin;	Fst antitoxin sRNA
FTHFS	RF02981	Cis-reg;	FTHFS RNA
FtrA	RF02747	Gene; sRNA;	Francisella sRNA A
FtrB	RF02748	Gene; sRNA;	Francisella sRNA B
ftsZ-DE	RF02985	Gene; sRNA;	ftsZ-DE RNA
FTX_1	RF02119	Gene; lncRNA;	FTX transcript, XIST regulator conserved region 1
FTX_2	RF02120	Gene; lncRNA;	FTX transcript, XIST regulator conserved region 2
FTX_3	RF02121	Gene; lncRNA;	FTX transcript, XIST regulator conserved region 3
FTX_4	RF02123	Gene; lncRNA;	FTX transcript, XIST regulator conserved region 4
FTX_5	RF02122	Gene; lncRNA;	FTX transcript, XIST regulator conserved region 5
FuFi-1	RF02986	Gene; sRNA;	FuFi-1 RNA
Fungi_SRP	RF01502	Gene;	Fungal signal recognition particle RNA
Fungi_U3	RF01846	Gene; snRNA; snoRNA; CD-box;	Fungal small nucleolar RNA U3
Fusobacteriales-1	RF02920	Cis-reg;	Fusobacteriales-1 RNA
Fwd6_3p_UTR	RF02740	Cis-reg;	Soft rot Enterobacteriaceae Fwd 6 3'UTR
G-CSF_SLDE	RF00183	Cis-reg;	G-CSF factor stem-loop destabilising element (SLDE)
g2	RF01798	Gene;	G2
GA-cis	RF02987	Gene; sRNA;	GA-cis RNA
GABA3	RF01803	Cis-reg;	Editing element of GABA-3 exon 9
gabT	RF01738	Cis-reg;	gabT RNA
gadd7	RF01800	Gene; lncRNA;	growth arrested DNA-damage inducible gene 7
GadY	RF00122	Gene; sRNA;	GadY
GAIT	RF00179	Cis-reg;	GAIT element
Gammaretro_CES	RF00374	Cis-reg;	Gammaretrovirus core encapsidation signal
gCoV-3UTR	RF03123	Cis-reg;	Gammacoronavirus 3'UTR
gCoV-5UTR	RF03118	Cis-reg;	Gammacoronavirus 5'UTR
GcvB	RF00022	Gene;	GcvB RNA
GEBRO	RF02988	Gene; sRNA;	GEBRO RNA
GHRLOS	RF02126	Gene; lncRNA;	Ghrelin opposite strand RNA conserved region
GibS	RF04182	Gene; sRNA;	GibS sRNA
GIR1	RF01807	Gene; ribozyme;	GIR1 branching ribozyme
glmS	RF00234	Cis-reg; riboswitch;	glmS glucosamine-6-phosphate activated ribozyme
GlmY_tke1	RF00128	Gene; sRNA;	Glm Y RNA activator of glmS mRNA
GlmZ_SraJ	RF00083	Gene; sRNA;	GlmZ RNA activator of glmS mRNA
glnA	RF01739	Cis-reg; riboswitch;	Glutamine riboswitch
GlsR10	RF02478	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR10
GlsR13	RF02479	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR13
GlsR14	RF02480	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR14
GlsR16_miR3	RF02338	Gene; snRNA; snoRNA;	Giardia snoRNA GlsR16
GlsR17_miR2	RF02339	Gene; snRNA; snoRNA;	Giardia snoRNA GlsR17
GlsR18	RF02481	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR18
GlsR19	RF02482	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR19
GlsR1_miR6	RF02336	Gene; snRNA; snoRNA;	Giardia snoRNA GlsR1
GlsR20	RF02483	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR20
GlsR21	RF02484	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR21
GlsR22	RF02485	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR22
GlsR23	RF02486	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR23
GlsR24	RF02487	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR24
GlsR25	RF02488	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR25
GlsR26	RF02489	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR26
GlsR27	RF02490	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA GlsR27
GlsR2_miR4	RF02335	Gene; snRNA; snoRNA;	Giardia snoRNA GlsR2
GlsR4	RF02473	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR4
GlsR5	RF02474	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR5
GlsR6	RF02475	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR6
GlsR7	RF02476	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR7
GlsR8_miR10	RF02337	Gene; snRNA; snoRNA;	Giardia snoRNA GlsR8
GlsR9	RF02477	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA GlsR9
gltS	RF02982	Cis-reg;	gltS RNA
Glutamine-II	RF01704	Cis-reg; riboswitch;	Glutamine-II riboswitch (downstream peptide RNA)
Glycine	RF00504	Cis-reg; riboswitch;	Glycine riboswitch
glycine-GGAnGA	RF03166	Cis-reg;	glycine-GGAnGA riboswitch
Gl_RNase_MRP	RF02472	Gene; ribozyme;	Giardia RNase MRP
Gl_U1	RF02491	Gene; snRNA; splicing;	Giardia U1 spliceosomal RNA
Gl_U2	RF02492	Gene; snRNA; splicing;	Giardia U2 spliceosomal RNA
Gl_U4	RF02493	Gene; snRNA; splicing;	Giardia U4 spliceosomal RNA
Gl_U6	RF02494	Gene; snRNA; splicing;	Giardia U6 spliceosomal RNA
GmglnB1_5p_UTR	RF02663	Cis-reg;	GmglnB1 5'UTR
GNAS-AS1_1	RF02127	Gene; lncRNA;	GNAS antisense RNA 1 conserved region 1
GNAS-AS1_2	RF02128	Gene; lncRNA;	GNAS antisense RNA 1 conserved region 2
GNAS-AS1_3	RF02129	Gene; lncRNA;	GNAS antisense RNA 1 conserved region 3
GNAS-AS1_4	RF02130	Gene; lncRNA;	GNAS antisense RNA 1 conserved region 4
GNAS-AS1_5	RF02131	Gene; lncRNA;	GNAS antisense RNA 1 conserved region 5
gntR-DTE	RF02989	Gene; sRNA;	gntR-DTE RNA
GOLLD	RF02032	Gene;	Giant, ornate, lake- and Lactobacillales-derived (GOLLD) RNA
GP20-a	RF02991	Cis-reg;	GP20-a RNA
GP20-b	RF03003	Cis-reg;	GP20-b RNA
GP_knot1	RF01073	Cis-reg;	Gag/pol translational readthrough site
GP_knot2	RF01092	Cis-reg;	Gag/pol translational readthrough site
greA	RF01769	Cis-reg; leader;	Enterobacteria greA leader
GRIK4_3p_UTR	RF01383	Gene;	GRIK4 3 prime UTR element
group-II-D1D4-1	RF01998	Intron;	Group II catalytic intron D1-D4-1
group-II-D1D4-2	RF01999	Intron;	Group II catalytic intron D1-D4-2
group-II-D1D4-3	RF02001	Intron;	Group II catalytic intron D1-D4-3
group-II-D1D4-4	RF02003	Intron;	Group II catalytic intron D1-D4-4
group-II-D1D4-5	RF02004	Intron;	Group II catalytic intron D1-D4-5
group-II-D1D4-6	RF02005	Intron;	Group II catalytic intron D1-D4-6
group-II-D1D4-7	RF02012	Intron;	Group II catalytic intron D1-D4-7
Gurken	RF00626	Cis-reg;	Gurken localisation signal
Gut-1	RF01706	Gene; sRNA;	Gut-1 RNA
gut-2	RF02990	Gene; sRNA;	gut-2 RNA
gyrA	RF01740	Cis-reg;	gyrA RNA
H19_1	RF01972	Gene; lncRNA;	H19 conserved region 1
H19_2	RF01973	Gene; lncRNA;	H19 conserved region 2
H19_3	RF01974	Gene; lncRNA;	H19 conserved region 3
h2cR	RF02369	Gene; sRNA;	h2cR sRNA
Hairpin	RF00173	Gene; ribozyme;	Hairpin ribozyme
Hairpin-meta1	RF04190	Gene; ribozyme;	Hairpin ribozyme 1 from viruses-like metatranscriptomes
Hairpin-meta2	RF04191	Gene; ribozyme;	Hairpin ribozyme 2 from viruses-like metatranscriptomes
Hammerhead_1	RF00163	Gene; ribozyme;	Hammerhead ribozyme (type I)
Hammerhead_3	RF00008	Gene; ribozyme;	Hammerhead ribozyme (type III)
Hammerhead_HH10	RF02277	Gene; ribozyme;	Hammerhead ribozyme HH10
Hammerhead_HH9	RF02275	Gene; ribozyme;	Hammerhead ribozyme HH9
Hammerhead_II	RF02276	Gene; ribozyme;	Hammerhead ribozyme (type II)
HAR1A	RF00635	Gene; lncRNA;	Highly accelerated region 1A/1B
Hatchet	RF02678	Gene; ribozyme;	Hatchet ribozyme
HAV_CRE	RF02533	Cis-reg;	Hepatitis A virus (HAV) cis-acting replication element (CRE)
HBV_epsilon	RF01047	Cis-reg;	HBV RNA encapsidation signal epsilon
HBV_PRE_1151-1410	RF02816	Cis-reg;	Hepatitis B virus post-transcriptional regulatory element 1151-1410
HCV_ARF_SL	RF00620	Cis-reg;	Hepatitis C alternative reading frame stem-loop
HCV_SL588	RF04220	Cis-reg;	SL588 non-coding RNA
HCV_SLVII	RF00468	Cis-reg;	Hepatitis C virus stem-loop VII
HCV_X3	RF00481	Cis-reg;	Hepatitis C virus 3' X element
HDV-F-prausnitzii	RF02682	Gene; ribozyme;	HDV ribozyme from F. prausnitzii
HDV_ribozyme	RF00094	Gene; ribozyme;	Hepatitis delta virus ribozyme
HEARO	RF02033	Gene;	HNH endonuclease-associated RNA and ORF (HEARO) RNA
HepC_CRE	RF00260	Cis-reg;	Hepatitis C virus (HCV) cis-acting replication element (CRE)
